language	concept	value
Zaozou	give birth, to	ŋa 44
Jinuo	give birth, to	tsɒ to mә
Naxi	give birth, to	-
Zaiwa	give birth, to	pau 21
Mandarin	go	qu4
Nasu	go	li 21
Lisu	go	ge 33
Baihong	go	ʒi31
Hani	go	li
Nosu	go	goxmgabbo
Samei	go	ʑi
Nisu	go	zɤ 21
Biyue	go	jo31
Kucong	go	qæ
Nusu	go	jɛ
Jinghpo	go	sa
Lahu Shi	go	qAi33
Lahu Na	go	qai
Zaozou	go	ʑæ 33
Jinuo	go	le
Naxi	go	fa
Zaiwa	go	e_ 51
Mandarin	good	hao3
Nasu	good	tsu 55
Lisu	good	tsho 44 dʒi 33
Baihong	good	mɯ55
Hani	good	yo meeq
Nosu	good	nbop (nbox)
Samei	good	o dɤ/dza mi
Nisu	good	no 55
Biyue	good	mɔ33
Kucong	good	na/ɟɛ mæ
Nusu	good	gjɛ; dzo mja (of food; dzo = eat)
Jinghpo	good	gaja
Lahu Shi	good	dA 21
Lahu Na	good	dar
Zaozou	good	lo 35
Jinuo	good	na/tsɒ sɒ (eat+)
Naxi	good	ka33
Zaiwa	good	ke 51
Mandarin	gourd	gua1
Nasu	gourd	o 33 phu 55
Lisu	gourd	a 55 phu 31
Baihong	gourd	-
Hani	gourd	maldei
Nosu	gourd	niepga
Samei	gourd	-
Nisu	gourd	A 55 phɤ 21
Biyue	gourd	-
Kucong	gourd	a mɯ çi
Nusu	gourd	ɣa (possibly same as pumpkin)
Jinghpo	gourd	kahkum n-gyin
Lahu Shi	gourd	-
Lahu Na	gourd	-
Zaozou	gourd	tɕɔ 31 ɔ 35
Jinuo	gourd	-
Naxi	gourd	gwa
Zaiwa	gourd	phe 55 xun 51
Mandarin	grandfather (paternal)	ye ye40
Nasu	grandfather (paternal)	-
Lisu	grandfather (paternal)	-
Baihong	grandfather (paternal)	a31 bo55
Hani	grandfather (paternal)	aq bol
Nosu	grandfather (paternal)	-
Samei	grandfather (paternal)	a bɔ
Nisu	grandfather (paternal)	-
Biyue	grandfather (paternal)	-
Kucong	grandfather (paternal)	a bu
Nusu	grandfather (paternal)	ba ba
Jinghpo	grandfather (paternal)	-
Lahu Shi	grandfather (paternal)	-
Lahu Na	grandfather (paternal)	a bu*
Zaozou	grandfather (paternal)	-
Jinuo	grandfather (paternal)	a phɯ
Naxi	grandfather (paternal)	-
Zaiwa	grandfather (paternal)	-
Mandarin	grandson	sun zi13
Nasu	grandson	ɬi 21 bɤ 21 zo 33
Lisu	grandson	li 55 pa 55
Baihong	grandson	y55 pa31
Hani	grandson	yuq paq
Nosu	grandson	lyyi
Samei	grandson	za ʐɨ
Nisu	grandson	ɬi 33 ʐo 33
Biyue	grandson	li31 dʒɨ31
Kucong	grandson	xo ʝa
Nusu	grandson	ʐui
Jinghpo	grandson	gashu la sha
Lahu Shi	grandson	xɔ31 pA31
Lahu Na	grandson	awl huaif
Zaozou	grandson	yi 31 ʑa 44
Jinuo	grandson	li zɒ
Naxi	grandson	lv.33 mbv.33
Zaiwa	grandson	ka` 21 ʃu 21
Mandarin	grass	cao3
Nasu	grass	ʂɨ 33
Lisu	grass	ʃɨ 55
Baihong	grass	xa55 sa31
Hani	grass	jahhaq
Nosu	grass	bbut
Samei	grass	tʂɨ mo
Nisu	grass	ʂɨ 33
Biyue	grass	o31 bi33
Kucong	grass	bɯ ɲɔ
Nusu	grass	mra
Jinghpo	grass	nam
Lahu Shi	grass	zɨ53
Lahu Na	grass	rid
Zaozou	grass	piɔ 35 tse~ 33
Jinuo	grass	mju
Naxi	grass	zɯ33
Zaiwa	grass	ma_n 21
Mandarin	green	li4
Nasu	green	ɲɯ 21
Lisu	green	ni 35 tʃhi 42
Baihong	green	ny55
Hani	green	niul
Nosu	green	athlop
Samei	green	lo
Nisu	green	nɯ 55
Biyue	green	ɲi55
Kucong	green	a ɲɔ
Nusu	green	ɲɯ
Jinghpo	green	tsit
Lahu Shi	green	nɔ31 lA33
Lahu Na	green	naw
Zaozou	green	ɲɯ~ 33
Jinuo	green	a ny
Naxi	green	ly
Zaiwa	green	ŋui 21
Mandarin	grind	mo2
Nasu	grind	tɕhɯ_ 21
Lisu	grind	dʒi 44
Baihong	grind	ge55
Hani	grind	siq
Nosu	grind	vut
Samei	grind	sa
Nisu	grind	tʂhɨ 33
Biyue	grind	dʑi33
Kucong	grind	mɔ
Nusu	grind	thu
Jinghpo	grind	garang
Lahu Shi	grind	gɤ313
Lahu Na	grind	geu*
Zaozou	grind	ʑæ~ 44
Jinuo	grind	mo
Naxi	grind	ɣɯ31
Zaiwa	grind	lui 55
Mandarin	guts (intestine)	chang2
Nasu	guts (intestine)	ɣu 21
Lisu	guts (intestine)	vu 33
Baihong	guts (intestine)	-
Hani	guts (intestine)	wul
Nosu	guts (intestine)	vu
Samei	guts (intestine)	v. dzɔ
Nisu	guts (intestine)	vu 21
Biyue	guts (intestine)	o31 v.55
Kucong	guts (intestine)	a ɣu
Nusu	guts (intestine)	u (βu?)
Jinghpo	guts (intestine)	pu
Lahu Shi	guts (intestine)	ɔ ɣu31 tɛ35 nɛ54
Lahu Na	guts (intestine)	awl u* tie*
Zaozou	guts (intestine)	vu 33 tɕo 55
Jinuo	guts (intestine)	a vu
Naxi	guts (intestine)	mbv33
Zaiwa	guts (intestine)	u 51
Mandarin	hair (human head)	to fa20
Nasu	hair (human head)	ʔu 33 tshe 33
Lisu	hair (human head)	o 55 tshe 44
Baihong	hair (human head)	tɕe kɯ5555
Hani	hair (human head)	ceil kaol
Nosu	hair (human head)	uonyie
Samei	hair (human head)	a tsu (tsɯ?)
Nisu	hair (human head)	ʔu_ 33 tɕhiɛ 21
Biyue	hair (human head)	dɕi55 kɤ55
Kucong	hair (human head)	u mɔ
Nusu	hair (human head)	tsa
Jinghpo	hair (human head)	kara
Lahu Shi	hair (human head)	tsɨ53 khɛ33
Lahu Na	hair (human head)	uq mu
Zaozou	hair (human head)	tɕha 44 ma 44
Jinuo	hair (human head)	tshe khɯ
Naxi	hair (human head)	ɣo33 fv.
Zaiwa	hair (human head)	u 21 tsham 51
Mandarin	hair (on body)	mao2
Nasu	hair (on body)	-
Lisu	hair (on body)	-
Baihong	hair (on body)	-
Hani	hair (on body)	hao
Nosu	hair (on body)	nyie
Samei	hair (on body)	u mә
Nisu	hair (on body)	-
Biyue	hair (on body)	-
Kucong	hair (on body)	mɔ
Nusu	hair (on body)	hmi
Jinghpo	hair (on body)	mun
Lahu Shi	hair (on body)	-
Lahu Na	hair (on body)	awl mu
Zaozou	hair (on body)	-
Jinuo	hair (on body)	a mɯ
Naxi	hair (on body)	-
Zaiwa	hair (on body)	-
Mandarin	hand	shou3
Nasu	hand	la_ 55
Lisu	hand	lɛ 31 phe 35
Baihong	hand	a31 la31
Hani	hand	aq lavq
Nosu	hand	lot
Samei	hand	le phe
Nisu	hand	li_ɛ_ 21
Biyue	hand	a31 la31
Kucong	hand	la
Nusu	hand	lo
Jinghpo	hand	ta
Lahu Shi	hand	lA31 pɯ31
Lahu Na	hand	lar shie
Zaozou	hand	lou 42 pho 42
Jinuo	hand	la pu
Naxi	hand	la31 dʐɨr
Zaiwa	hand	lo? 21
Mandarin	hard	ying4
Nasu	hard	xo, 21
Lisu	hard	fu 44
Baihong	hard	vo (ɣo?)55
Hani	hard	hhaol
Nosu	hard	-
Samei	hard	khɔ
Nisu	hard	tɕhi_ɛ_ 33
Biyue	hard	ka33
Kucong	hard	xo
Nusu	hard	-
Jinghpo	hard	ja
Lahu Shi	hard	xɛ33
Lahu Na	hard	hie
Zaozou	hard	ʔɯ 44
Jinuo	hard	a kha
Naxi	hard	-
Zaiwa	hard	than 51
Mandarin	hate1	hen4
Nasu	hate1	ɲi 21 dzo_ 21
Lisu	hate1	ni 35 bɯ 44
Baihong	hate1	-
Hani	hate1	-
Nosu	hate1	-
Samei	hate1	-
Nisu	hate1	xɤ 55
Biyue	hate1	dzɨ55
Kucong	hate1	-
Nusu	hate1	-
Jinghpo	hate1	-
Lahu Shi	hate1	zɨ31 tɕhi35
Lahu Na	hate1	-
Zaozou	hate1	kæ~ 31
Jinuo	hate1	-
Naxi	hate1	-
Zaiwa	hate1	ni_k 55 noʔ 21
Mandarin	hate2	tao yan34
Nasu	hate2	-
Lisu	hate2	-
Baihong	hate2	ma31 ga31 (not like)
Hani	hate2	lavsaoq
Nosu	hate2	-
Samei	hate2	hy (hɯ?)
Nisu	hate2	-
Biyue	hate2	-
Kucong	hate2	ɟɛ ca
Nusu	hate2	pha jә (also = hen)
Jinghpo	hate2	nri
Lahu Shi	hate2	-
Lahu Na	hate2	ni bawl
Zaozou	hate2	-
Jinuo	hate2	mjɒ pɹɒ
Naxi	hate2	-
Zaiwa	hate2	-
Mandarin	he	ta1
Nasu	he	thi 33
Lisu	he	e 55
Baihong	he	a31 jo31
Hani	he	aq yoq
Nosu	he	cy
Samei	he	u
Nisu	he	kɤ 55
Biyue	he	ji31 gɔ31 to55
Kucong	he	jɔ
Nusu	he	ea (diph)
Jinghpo	he	shi
Lahu Shi	he	zɔ53
Lahu Na	he	yawd
Zaozou	he	tu 55
Jinuo	he	khә
Naxi	he	thɯ33
Zaiwa	he	ja_ŋ 21
Mandarin	head	to2
Nasu	head	ʔu 33 kɤ 21
Lisu	head	o 55 du 33
Baihong	head	u55 dv.31
Hani	head	wuqduq
Nosu	head	iqi
Samei	head	a dɯ (dy?)
Nisu	head	ʔu_ 33
Biyue	head	v.31 ki31
Kucong	head	u
Nusu	head	a phu la
Jinghpo	head	bo
Lahu Shi	head	tɔ31 qu31
Lahu Na	head	uq qof
Zaozou	head	ʔo 55 tu 31
Jinuo	head	v. khe
Naxi	head	ku33 ly33
Zaiwa	head	u 21 lu_m 21
Mandarin	hear	ting jian14
Nasu	hear	-
Lisu	hear	-
Baihong	hear	ga31
Hani	hear	gaq
Nosu	hear	-
Samei	hear	bɔ nɔ
Nisu	hear	-
Biyue	hear	-
Kucong	hear	na ni ga
Nusu	hear	hnɔ tjɛ
Jinghpo	hear	na
Lahu Shi	hear	-
Lahu Na	hear	na kad
Zaozou	hear	-
Jinuo	hear	nɒ kjɒ
Naxi	hear	-
Zaiwa	hear	-
Mandarin	heart	xin zang14
Nasu	heart	ɲi_ 21 mo_ 21
Lisu	heart	ni 35 ma 33
Baihong	heart	nɯ31 ma55
Hani	heart	neema
Nosu	heart	hxiemat
Samei	heart	n(y) mә
Nisu	heart	ni_ 33
Biyue	heart	ne33 mo33
Kucong	heart	ɲi ma çi
Nusu	heart	hi~ na (nɔ?)
Jinghpo	heart	salum
Lahu Shi	heart	ni33 ma33 sɨ11
Lahu Na	heart	ni ma shif
Zaozou	heart	na 44 the 35 læ 31
Jinuo	heart	nɨ sɨ
Naxi	heart	nv55 me33
Zaiwa	heart	ni_k 55 lu_m 21
Mandarin	heavy	zhong4
Nasu	heavy	li 33
Lisu	heavy	li 31
Baihong	heavy	koŋ55
Hani	heavy	xao
Nosu	heavy	lyx
Samei	heavy	ʐɨ
Nisu	heavy	li 33
Biyue	heavy	dzɨ33
Kucong	heavy	xo
Nusu	heavy	li
Jinghpo	heavy	li
Lahu Shi	heavy	tsoŋ35
Lahu Na	heavy	hawd peu*
Zaozou	heavy	le 31
Jinuo	heavy	ji ɬi
Naxi	heavy	lɯ33
Zaiwa	heavy	lai 21
Mandarin	here	zhe li40
Nasu	here	tʂhɤ 33 mɔ 55
Lisu	here	the 33 kua 44
Baihong	here	xɤ55 ga55
Hani	here	xilgei
Nosu	here	titgo
Samei	here	i ba
Nisu	here	ʔi 55 ni_ɛ_ 33
Biyue	here	jɔ33 dza55
Kucong	here	cɔ xɔ
Nusu	here	a dɯ
Jinghpo	here	ndai ko
Lahu Shi	here	tɕho31 phɔ53
Lahu Na	here	chol kal
Zaozou	here	ɣuo 35 ka 44
Jinuo	here	xi
Naxi	here	tʂhә 13 kv33
Zaiwa	here	xii 51 ma 55
Mandarin	hide	duo cang32
Nasu	hide	vɤ 55
Lisu	hide	piɛ 33
Baihong	hide	ge55 wa31
Hani	hide	xeivhhovq
Nosu	hide	nbot
Samei	hide	pɯ mo
Nisu	hide	phA_ 21 nɤ 33
Biyue	hide	ma33 dza33 pi31
Kucong	hide	ja fi
Nusu	hide	ʑi
Jinghpo	hide	makoi
Lahu Shi	hide	-
Lahu Na	hide	var taf
Zaozou	hide	sa 55
Jinuo	hide	tsho wa
Naxi	hide	na33
Zaiwa	hide	xa? 55
Mandarin	high (of place)	gao1
Nasu	high (of place)	mu 21
Lisu	high (of place)	mo 44
Baihong	high (of place)	-
Hani	high (of place)	-
Nosu	high (of place)	-
Samei	high (of place)	a m.
Nisu	high (of place)	mo 55
Biyue	high (of place)	gau33
Kucong	high (of place)	mɔ
Nusu	high (of place)	hmræ
Jinghpo	high (of place)	tso
Lahu Shi	high (of place)	mɔ55
Lahu Na	high (of place)	-
Zaozou	high (of place)	mia 33
Jinuo	high (of place)	la mjɔ a
Naxi	high (of place)	-
Zaiwa	high (of place)	mja_ŋ 51
Mandarin	hit	da3
Nasu	hit	ndhu 21
Lisu	hit	dɯ 31
Baihong	hit	di31
Hani	hit	diq
Nosu	hit	dip (dix)
Samei	hit	dæ
Nisu	hit	dE33
Biyue	hit	dɤ31
Kucong	hit	do
Nusu	hit	bә
Jinghpo	hit	gayat
Lahu Shi	hit	dɔ54
Lahu Na	hit	dawt
Zaozou	hit	pa 42
Jinuo	hit	tʃɨ
Naxi	hit	la55
Zaiwa	hit	pat 21
Mandarin	hole [in cloth]	dong4
Nasu	hole [in cloth]	-
Lisu	hole [in cloth]	-
Baihong	hole [in cloth]	jo31 bi (by?)55
Hani	hole [in cloth]	yo byu
Nosu	hole [in cloth]	jjur
Samei	hole [in cloth]	ne dɔ
Nisu	hole [in cloth]	-
Biyue	hole [in cloth]	-
Kucong	hole [in cloth]	a çja kho
Nusu	hole [in cloth]	ɔ du du
Jinghpo	hole [in cloth]	hku
Lahu Shi	hole [in cloth]	-
Lahu Na	hole [in cloth]	awl paw* tsi*
Zaozou	hole [in cloth]	-
Jinuo	hole [in cloth]	a khɬo
Naxi	hole [in cloth]	tʂɨ kwɔr
Zaiwa	hole [in cloth]	-
Mandarin	honey	feng mi14
Nasu	honey	-
Lisu	honey	-
Baihong	honey	ba31 tʃɨ55
Hani	honey	biaq eel
Nosu	honey	jjiyy
Samei	honey	ljɔ ʐ(ɨ)
Nisu	honey	-
Biyue	honey	-
Kucong	honey	bjɛ ɣɯ
Nusu	honey	bjo ʐә
Jinghpo	honey	lagat jahku
Lahu Shi	honey	-
Lahu Na	honey	pied xeul
Zaozou	honey	-
Jinuo	honey	pjɔ ɪ
Naxi	honey	mbæ
Zaiwa	honey	-
Mandarin	hook	gou zi10
Nasu	hook	ŋo_ 55
Lisu	hook	ŋo 33
Baihong	hook	-
Hani	hook	kavngeeq
Nosu	hook	gapngot
Samei	hook	-
Nisu	hook	ŋu_ 33
Biyue	hook	gɤ55
Kucong	hook	ɟu go
Nusu	hook	gɤ dzɨ
Jinghpo	hook	chyinghkyi
Lahu Shi	hook	kuA35
Lahu Na	hook	biq quair
Zaozou	hook	tsa 44
Jinuo	hook	a khʊ
Naxi	hook	gɔ (fish hook)
Zaiwa	hook	ŋje_ŋ 21
Mandarin	horn	jiao3
Nasu	horn	tɕhɯ 21
Lisu	horn	o 55 tʃhɨ 44
Baihong	horn	ɔ31 ky55
Hani	horn	kyul
Nosu	horn	ddie
Samei	horn	khә bә
Nisu	horn	tʂhɨ 21
Biyue	horn	v.31 dɕi55
Kucong	horn	khɔ
Nusu	horn	tʂɨ(r)
Jinghpo	horn	nrung
Lahu Shi	horn	khɔ33
Lahu Na	horn	khaw
Zaozou	horn	o~ 55 khɯ~ 55
Jinuo	horn	u khi
Naxi	horn	-
Zaiwa	horn	khjui 51
Mandarin	horse	ma3
Nasu	horse	mu 33
Lisu	horse	a 55 mo 31
Baihong	horse	a31 mo31
Hani	horse	moq
Nosu	horse	mu
Samei	horse	mɛr (?)
Nisu	horse	mo 33
Biyue	horse	mo31
Kucong	horse	mo
Nusu	horse	mrә
Jinghpo	horse	gumra
Lahu Shi	horse	mɔ53
Lahu Na	horse	iq mud
Zaozou	horse	mia 31
Jinuo	horse	mjʊ
Naxi	horse	kәr (kwɔr?)
Zaiwa	horse	mjaŋ 21
Mandarin	hot	re4
Nasu	hot	tsho 21
Lisu	hot	tsha 44
Baihong	hot	lɔ55
Hani	hot	laol
Nosu	hot	dutca
Samei	hot	tswɔ
Nisu	hot	tʂhɨ_ 33
Biyue	hot	lo55
Kucong	hot	ci
Nusu	hot	tsә
Jinghpo	hot	gahtet
Lahu Shi	hot	xɔ~55
Lahu Na	hot	haw
Zaozou	hot	tshɯ 33
Jinuo	hot	ɬo
Naxi	hot	tshәr33
Zaiwa	hot	ɲe 55
Mandarin	house	fang zi20
Nasu	house	hɚ 21
Lisu	house	hi 33
Baihong	house	la31 xo55
Hani	house	laqhyul
Nosu	house	yi
Samei	house	hi (xi?)
Nisu	house	xiɛ 21
Biyue	house	ji55 go55
Kucong	house	ʝɛ
Nusu	house	jɔ
Jinghpo	house	nta
Lahu Shi	house	ʑɛ31
Lahu Na	house	yiel
Zaozou	house	ʑæ~ 33 læ 31
Jinuo	house	tso
Naxi	house	nji31
Zaiwa	house	ju_m 51
Mandarin	hundred	bai3
Nasu	hundred	ho 21
Lisu	hundred	hɛ 33
Baihong	hundred	ja (ʒa?)55
Hani	hundred	yal
Nosu	hundred	hxa
Samei	hundred	no
Nisu	hundred	xo 21
Biyue	hundred	ja55
Kucong	hundred	xa
Nusu	hundred	ti hjɔ (hja?)
Jinghpo	hundred	tsa
Lahu Shi	hundred	ti31 xA31 mA31
Lahu Na	hundred	ha
Zaozou	hundred	tɯ 31 ʑo 55
Jinuo	hundred	thi xjɔ
Naxi	hundred	ɕi33
Zaiwa	hundred	ʃo 51
Mandarin	hungry	e4
Nasu	hungry	ɲi_ 55
Lisu	hungry	mɯ 42
Baihong	hungry	me31
Hani	hungry	meivq
Nosu	hungry	mit
Samei	hungry	ɲi
Nisu	hungry	ni_ 21
Biyue	hungry	mje31
Kucong	hungry	mɯ
Nusu	hungry	ma
Jinghpo	hungry	kosi
Lahu Shi	hungry	mɤ31
Lahu Na	hungry	meor
Zaozou	hungry	ma 42
Jinuo	hungry	a me mɤ (a me = rice; mifan)
Naxi	hungry	ʐu31
Zaiwa	hungry	tso 21 mut 55
Mandarin	hunt	shou4 lie4
Nasu	hunt	ɬɚ 33 ŋgha_ 55
Lisu	hunt	xua 31 ga 42
Baihong	hunt	sa55 le31
Hani	hunt	saqleiq
Nosu	hunt	kesi hxitmgot
Samei	hunt	mә (= capture 'zhuo' ?)
Nisu	hunt	xi_ɛ_ 33 bɛ_ 33
Biyue	hunt	dzɨ55 tɤ33
Kucong	hunt	çja qa
Nusu	hunt	hɔbi
Jinghpo	hunt	shan gap
Lahu Shi	hunt	sA11 bɔ54
Lahu Na	hunt	shaf bawt
Zaozou	hunt	xo 31 tɕa~ 55
Jinuo	hunt	u tha kɹa
Naxi	hunt	hɯ ndy55
Zaiwa	hunt	ŋo 21 ne_ 21 ne_ 21
Mandarin	hurt	teng2
Nasu	hurt	no 21
Lisu	hurt	na 33
Baihong	hurt	na55
Hani	hurt	nal
Nosu	hurt	na
Samei	hurt	nɔ
Nisu	hurt	no 21
Biyue	hurt	na55
Kucong	hurt	na
Nusu	hurt	nwɔ
Jinghpo	hurt	machyi
Lahu Shi	hurt	nA31
Lahu Na	hurt	nal
Zaozou	hurt	no 33
Jinuo	hurt	nɔ (same as sick)
Naxi	hurt	ŋgu31
Zaiwa	hurt	no 51
Mandarin	husband	zhang4 fu1
Nasu	husband	sɯ 55 ɣɯ 21
Lisu	husband	hi 33 sɨ 44 pha 31
Baihong	husband	xa31 ja55
Hani	husband	-
Nosu	husband	-
Samei	husband	sa v.
Nisu	husband	pho 21 mA 33
Biyue	husband	a55 dʒɨ53 ɲi55
Kucong	husband	pha mo
Nusu	husband	mi (same as husband)
Jinghpo	husband	madu wa
Lahu Shi	husband	ŋa31 phɔ33 mɔ53
Lahu Na	husband	awl phawd
Zaozou	husband	tɕa 35 ʑa 44
Jinuo	husband	khɒ phɔ
Naxi	husband	-
Zaiwa	husband	laŋ 51
Mandarin	I	wo3
Nasu	I	ŋo 33
Lisu	I	ŋua 33
Baihong	I	ŋa55
Hani	I	ngal
Nosu	I	nga
Samei	I	ŋɔ
Nisu	I	ŋo 21
Biyue	I	ŋa55
Kucong	I	ŋa
Nusu	I	wɔ
Jinghpo	I	ngai
Lahu Shi	I	ŋA31
Lahu Na	I	ngal
Zaozou	I	ŋo 33
Jinuo	I	ŋo
Naxi	I	ŋә31
Zaiwa	I	ŋo 51
Mandarin	insect	chong zi20
Nasu	insect	bu 33
Lisu	insect	bɯ 31 di 33
Baihong	insect	a31 bi31
Hani	insect	aq zuq
Nosu	insect	bbupddi
Samei	insect	vә
Nisu	insect	bu 33
Biyue	insect	bi31 dʒv.31
Kucong	insect	bo
Nusu	insect	a ɕi (sɨ?) a (βa?)
Jinghpo	insect	shingtai
Lahu Shi	insect	po31 mɤ31
Lahu Na	insect	peor meo
Zaozou	insect	pa 31 ti 31 o~ 33
Jinuo	insect	pu tʃu
Naxi	insect	mbi 23 ndi31
Zaiwa	insect	pau 21
Mandarin	inside	li mian34
Nasu	inside	khɯ 21 kɯ 55
Lisu	inside	e 55 khu 31 kua 44
Baihong	inside	xo31 dʒe31 po31
Hani	inside	hhol qei pyu
Nosu	inside	kujox
Samei	inside	khʊ di
Nisu	inside	A 55 kho 21
Biyue	inside	ɔ31 ko55 li55
Kucong	inside	a qo bo
Nusu	inside	khja gɯ
Jinghpo	inside	gata
Lahu Shi	inside	ɔ31 qhɔ33 phɔ53
Lahu Na	inside	awl qhaw
Zaozou	inside	a 31 kɯ 55 ɕi 33
Jinuo	inside	khjo ja
Naxi	inside	-
Zaiwa	inside	a 21 khau 51 ma 55
Mandarin	itchy	yang3
Nasu	itchy	ʑo 33
Lisu	itchy	ni 35 mu 44
Baihong	itchy	dzɤ55
Hani	itchy	ziiv
Nosu	itchy	yi
Samei	itchy	khy
Nisu	itchy	ʐo 33
Biyue	itchy	dzɨ33
Kucong	itchy	ɟә
Nusu	itchy	hɤ jɯ
Jinghpo	itchy	gaya
Lahu Shi	itchy	dzɨ53
Lahu Na	itchy	dzit
Zaozou	itchy	ʑo 31
Jinuo	itchy	tsɨ
Naxi	itchy	ka31 ka33
Zaiwa	itchy	jo 21
Mandarin	joint	guan jie12
Nasu	joint	-
Lisu	joint	-
Baihong	joint	dzɤ31
Hani	joint	-
Nosu	joint	zyt
Samei	joint	-
Nisu	joint	-
Biyue	joint	-
Kucong	joint	a ɟe gu
Nusu	joint	lo tsi
Jinghpo	joint	lamyi laman
Lahu Shi	joint	-
Lahu Na	joint	awl ziq
Zaozou	joint	-
Jinuo	joint	la tshɨ
Naxi	joint	ʐәr
Zaiwa	joint	-
Mandarin	jump	tiao4
Nasu	jump	ʈhi_ 21
Lisu	jump	tɯ 35
Baihong	jump	di55
Hani	jump	coq
Nosu	jump	qie
Samei	jump	tjo
Nisu	jump	pi_ 33
Biyue	jump	dɤ55
Kucong	jump	bo
Nusu	jump	tɯ
Jinghpo	jump	ka
Lahu Shi	jump	pɔ54
Lahu Na	jump	pawt
Zaozou	jump	tɕio~ 44
Jinuo	jump	thɯ
Naxi	jump	tsho33
Zaiwa	jump	pjam 51
Mandarin	kick	ti1
Nasu	kick	ɳɖho_ 21
Lisu	kick	pe 35
Baihong	kick	tɛ (de?)31
Hani	kick	teiv
Nosu	kick	bie
Samei	kick	tɕa
Nisu	kick	du_ 33
Biyue	kick	ti55
Kucong	kick	the
Nusu	kick	khwe
Jinghpo	kick	htong
Lahu Shi	kick	thi55
Lahu Na	kick	thet
Zaozou	kick	pæ 44
Jinuo	kick	kɹo
Naxi	kick	tshɯ33
Zaiwa	kick	pik 55
Mandarin	kidney	sheng4
Nasu	kidney	ʔɯ 33
Lisu	kidney	o 42 di 33
Baihong	kidney	jo55 dzɨ31
Hani	kidney	hhoqsiq
Nosu	kidney	o
Samei	kidney	-
Nisu	kidney	kA 33 piɛ 55
Biyue	kidney	jau33 dzɨ31
Kucong	kidney	a di li çi
Nusu	kidney	u thә
Jinghpo	kidney	sade
Lahu Shi	kidney	ʑao53 tsɨ33
Lahu Na	kidney	awl lad shif
Zaozou	kidney	ʑi 55 tsɨ 31
Jinuo	kidney	ʃәn
Naxi	kidney	dzi
Zaiwa	kidney	tʃin 55 lu_m 21
Mandarin	kill	sha1
Nasu	kill	si_ 55
Lisu	kill	se 42
Baihong	kill	ɕe31
Hani	kill	seivq
Nosu	kill	sit
Samei	kill	ɕi
Nisu	kill	sɨ_ 21
Biyue	kill	ʃɨ31
Kucong	kill	çe
Nusu	kill	sa
Jinghpo	kill	sat
Lahu Shi	kill	ɕi35
Lahu Na	kill	tid
Zaozou	kill	sa 42
Jinuo	kill	se
Naxi	kill	sy (ʂɤ?)
Zaiwa	kill	sat 55
Mandarin	knife	dao1 zi0
Nasu	knife	be 55 tho 33
Lisu	knife	a 55 tha 31
Baihong	knife	mi31 dʑe31
Hani	knife	tossaq
Nosu	knife	ddoxmusse
Samei	knife	vi tɔ
Nisu	knife	A 55 tiɛ 55
Biyue	knife	mo33 dzo31
Kucong	knife	a khɔ
Nusu	knife	mre (mri?)
Jinghpo	knife	nshi
Lahu Shi	knife	A35 thɔ33
Lahu Na	knife	aq thaw (big); aq thie* (small)
Zaozou	knife	mia 31 kha 31
Jinuo	knife	mjao kho
Naxi	knife	zɯ33 the33
Zaiwa	knife	ʃam 51
Mandarin	know [info]	zhi1 dao4
Nasu	know [info]	sɚ_ 55
Lisu	know [info]	sɯ 55
Baihong	know [info]	xa55 lɔ31
Hani	know [info]	hev
Nosu	know [info]	ddejji
Samei	know [info]	sa
Nisu	know [info]	sɛ_ 21
Biyue	know [info]	sɨ31 la31
Kucong	know [info]	çi bɯ
Nusu	know [info]	su
Jinghpo	know [info]	chye
Lahu Shi	know [info]	ɕi11 A11
Lahu Na	know [info]	ga* shif
Zaozou	know [info]	ɲiæ 35
Jinuo	know [info]	sɨ jɒ
Naxi	know [info]	sɯ33
Zaiwa	know [info]	se 55
Mandarin	know [sb]	ren4 shi4
Nasu	know [sb]	sɚ_ 55
Lisu	know [sb]	sɯ 55
Baihong	know [sb]	x55a lɔ31
Hani	know [sb]	hev
Nosu	know [sb]	syp
Samei	know [sb]	sa
Nisu	know [sb]	sɛ_ 21
Biyue	know [sb]	sɨ31 la31
Kucong	know [sb]	çi bɯ
Nusu	know [sb]	su
Jinghpo	know [sb]	chye
Lahu Shi	know [sb]	ɕi11 A11
Lahu Na	know [sb]	shif dar
Zaozou	know [sb]	sa 42 ɣuo 33
Jinuo	know [sb]	sɨ jɒ
Naxi	know [sb]	sɯ33 sɯ33
Zaiwa	know [sb]	se 55
Mandarin	lake	hu2
Nasu	lake	xɤ 21zo 33
Lisu	lake	e 44 bɯ 33
Baihong	lake	lɔ55 dɯ55
Hani	lake	luduqduqma
Nosu	lake	-
Samei	lake	-
Nisu	lake	xɤ 21 ʐo 33
Biyue	lake	-
Kucong	lake	do lo
Nusu	lake	-
Jinghpo	lake	nong
Lahu Shi	lake	-
Lahu Na	lake	xeul po
Zaozou	lake	ɔ 31 pɯ~ 35
Jinuo	lake	i tʃhɔ teәr mɯ (water +)
Naxi	lake	-
Zaiwa	lake	no_ŋ 55
Mandarin	late	wan3
Nasu	late	lɤ_ 21
Lisu	late	lɯ 33 le 33
Baihong	late	pi31
Hani	late	aoq qivq
Nosu	late	ketmop
Samei	late	lә
Nisu	late	lE 21
Biyue	late	pi35
Kucong	late	læ
Nusu	late	swa
